service,entity_set,property,type,nullable,is_key
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Banfn,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bnfpo,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bsart,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Loekz,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Statu,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Frgkz,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Frgzu,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ekgrp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ernam,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Afnam,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Txz01,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Matnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Werks,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Lgort,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bednr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Matkl,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Reswk,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Menge,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Meins,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Badat,Edm.DateTime,true,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Lfdat,Edm.DateTime,true,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Preis,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Peinh,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Flief,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ebeln,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ebelp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bsmng,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ebakz,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Rsnum,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Mblnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Mjahr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Zeile,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Bwart,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Matnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Werks,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Lgort,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Lifnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Shkzg,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Dmbtr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Menge,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Meins,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Ebeln,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Ebelp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Sgtxt,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Wempf,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Kostl,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Aufnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Rsnum,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Rspos,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Umwrk,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Umlgo,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,Grund,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,BudatMkpf,Edm.DateTime,true,
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,CpudtMkpf,Edm.DateTime,true,
ZVZI_KPI02_SHARED_SRV,InfoRecordSet,Infnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,InfoRecordSet,Matnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordSet,Lifnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordSet,Loekz,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Infnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Ekorg,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Esokz,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Werks,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Loekz,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Waers,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Aplfz,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Netpr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Peinh,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Effpr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Ebeln,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Bsart,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Aedat,Edm.DateTime,true,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Lifnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Ekorg,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Ekgrp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Waers,Edm.String,false,
